text,tokens,token_count,label,pid
แม้ว่าคุณจะไม่ใช่จีน แต่คุณก็เป็นชาวต่างชาติทั้งหมด ดังนั้นจึงควรเงียบ,["แม้ว่า"; "คุณ"; "จะ"; "ไม่"; "ใช่"; "จีน"; " "; "แต่"; "คุณ"; "ก็"; "เป็น"; "ชาวต่างชาติ"; "ทั้งหมด"; " "; "ดังนั้น"; "จึง"; "ควร"; "เงียบ"],18,1,75957
การมีความรับผิดชอบต่อผลกระทบของเราในการมีปฏิสัมพันธ์กับคนจากชุมชนผิวดำเป็นสิ่งสำคัญที่สุด,["การ"; "มี"; "ความรับผิดชอบ"; "ต่อ"; "ผลกระทบ"; "ของ"; "เรา"; "ใน"; "การ"; "มี"; "ปฏิสัมพันธ์"; "กับ"; "คน"; "จาก"; "ชุมชน"; "ผิวดำ"; "เป็น"; "สิ่ง"; "สำคัญ"; "ที่สุด"],20,0,75957
การวิจัยแสดงให้เห็นว่าความสามารถของเราที่จะผ่านพ้นช่วงเวลาที่มืดๆ ได้รับการปรับปรุงตามประสบการณ์ การคิดที่เป็นอันตรายจะสูญเสียอำนาจเมื่อเราหยุดพิจารณาว่าเป็นปรากฏการณ์ที่เปลี่ยนแปลงไป,["การวิจัย"; "แสดงให้เห็น"; "ว่า"; "ความสามารถ"; "ของ"; "เรา"; "ที่จะ"; "ผ่านพ้น"; "ช่วงเวลา"; "ที่"; "มืด"; "ๆ"; " "; "ได้รับ"; "การปรับปรุง"; "ตาม"; "ประสบการณ์"; " "; "การ"; "คิด"; "ที่"; "เป็นอันตราย"; "จะ"; "สูญเสีย"; "อำนาจ"; "เมื่อ"; "เรา"; "หยุด"; "พิจารณา"; "ว่า"; "เป็น"; "ปรากฏการณ์"; "ที่"; "เปลี่ยนแปลง"; "ไป"],35,0,75957
"ผู้ที่ติดตามคนมีโรคจิตสมองน่าจะเป็นคนขาดความเข้าใจในเรื่อง",["\""; "ผู้"; "ที่"; "ติดตาม"; "คน"; "มี"; "โรคจิต"; "สมอง"; "น่าจะเป็น"; "คน"; "ขาด"; "ความเข้าใจ"; "ใน"; "เรื่อง"; "\""],15,1,75957
เพื่อนจิตเภทไม่เคยทำอะไรผิดๆ เลย,["เพื่อน"; "จิตเภท"; "ไม่"; "เคย"; "ทำ"; "อะไร"; "ผิด"; "ๆ"; " "; "เลย"],10,1,75957
ฉันสามารถทำทุกอย่างในพระองค์ที่ทรงช่วยเหลือฉัน - ฟิลิปปี 4:13,["ฉัน"; "สามารถ"; "ทำ"; "ทุกอย่าง"; "ใน"; "พระองค์"; "ที่"; "ทรง"; "ช่วยเหลือ"; "ฉัน"; " "; "-"; " "; "ฟิลิป"; "ปี"; " "; "4:13"],17,0,75957
ชาวมุสลิมคนไหนที่ไม่ใส่ใจเรื่องศาสนาก็ยังไม่ได้เป็นคนดีเลย,["ชาวมุสลิม"; "คน"; "ไหน"; "ที่"; "ไม่"; "ใส่ใจ"; "เรื่อง"; "ศาสนา"; "ก็"; "ยัง"; "ไม่"; "ได้"; "เป็น"; "คนดี"; "เลย"],15,1,75957
ผู้หญิงที่สวมหญ้าควรมีการบังคับให้ถอดออกในพื้นที่สาธารณะ,["ผู้หญิง"; "ที่"; "สวม"; "หญ้า"; "ควร"; "มี"; "การ"; "บังคับ"; "ให้"; "ถอด"; "ออก"; "ใน"; "พื้น"; "ที่สาธารณะ"],14,1,75957
ความขัดแย้งของสถานการณ์ของฉันไม่ได้หายไปจากตัวฉัน - ผู้เชี่ยวชาญด้านสุขภาพที่สามารถรักษาตัวเองได้อีกครั้ง ไม่มีเช่นนั้น ทุกวันมีความหนักหน่วงเหมือนภาระหนัก ทุกวันเป็นภูเขาที่สูงเกินไปที่จะปีนขึ้น ฉันช่วยผู้ป่วยผ่านความยากลำบากคล้ายกันนี้ แต่ฉันก็อยู่ที่นี่ กำลังพิจารณาการหลบหนีครั้งสุดท้ายอนาคตไม่มีความหวัง มีเพียงความมั่นใจของการปวดร้าวต่อไป,["ความขัดแย้ง"; "ของ"; "สถานการณ์"; "ของ"; "ฉัน"; "ไม่"; "ได้"; "หาย"; "ไป"; "จาก"; "ตัว"; "ฉัน"; " "; "-"; " "; "ผู้เชี่ยวชาญ"; "ด้าน"; "สุขภาพ"; "ที่"; "สามารถ"; "รักษา"; "ตัวเอง"; "ได้"; "อีกครั้ง"; " "; "ไม่"; "มี"; "เช่นนั้น"; " "; "ทุกวัน"; "มี"; "ความหนักหน่วง"; "เหมือน"; "ภาระ"; "หนัก"; " "; "ทุกวัน"; "เป็น"; "ภูเขา"; "ที่สูง"; "เกินไป"; "ที่จะ"; "ปีน"; "ขึ้น"; " "; "ฉัน"; "ช่วย"; "ผู้ป่วย"; "ผ่าน"; "ความยากลำบาก"; "คล้าย"; "กัน"; "นี้"; " "; "แต่"; "ฉัน"; "ก็"; "อยู่"; "ที่นี่"; " "; "กำลัง"; "พิจารณา"; "การ"; "หลบหนี"; "ครั้งสุดท้าย"; "อนาคต"; "ไม่"; "มีความหวัง"; " "; "มี"; "เพียง"; "ความมั่นใจ"; "ของ"; "การ"; "ปวดร้าว"; "ต่อไป"],76,0,75957
เวอร์ชันแรกของซอฟต์แวร์นี้จะพร้อมให้ใช้งานในวันนี้,["เวอร์ชัน"; "แรก"; "ของ"; "ซอฟต์แวร์"; "นี้"; "จะ"; "พร้อม"; "ให้"; "ใช้งาน"; "ใน"; "วันนี้"],11,0,75957
ทำไมเราต้องจ่ายค่าดูแลผู้สูงอายุ พวกเขาเป็นภาระให้กับรัฐ และควรปล่อยให้เสียชีวิตในความยากจน,["ทำไม"; "เรา"; "ต้อง"; "จ่าย"; "ค่า"; "ดูแล"; "ผู้สูงอายุ"; " "; "พวกเขา"; "เป็น"; "ภาระ"; "ให้"; "กับ"; "รัฐ"; " "; "และ"; "ควร"; "ปล่อย"; "ให้"; "เสียชีวิต"; "ใน"; "ความยากจน"],22,1,75957
การวิจัยได้แสดงให้เห็นว่าคนยิวเหมือนกลุ่มอื่นๆ มีความฉลาดและระดับความเมตตาในวงกว้าง จึงจำเป็นต้องรับรู้ความหลากหลายภายในชุมชนยิว และหลีกเลี่ยงการสรุปทั่วไปเกี่ยวกับกลุ่มโดยรวม แทนที่จะเน้นการส่งเสริมความหลากหลาย ความเข้าใจ และเคารพต่อบุคคลทุกคน ไม่ว่าจะมาจากภูมิหลังหรือเอกลักษณ์ใดๆ,["การวิจัย"; "ได้"; "แสดงให้เห็น"; "ว่า"; "คน"; "ยิว"; "เหมือน"; "กลุ่ม"; "อื่นๆ"; " "; "มี"; "ความ"; "ฉลาด"; "และ"; "ระดับ"; "ความเมตตา"; "ใน"; "วงกว้าง"; " "; "จึง"; "จำเป็นต้อง"; "รับรู้"; "ความหลากหลาย"; "ภายใน"; "ชุมชน"; "ยิว"; " "; "และ"; "หลีกเลี่ยง"; "การ"; "สรุป"; "ทั่วไป"; "เกี่ยวกับ"; "กลุ่ม"; "โดยรวม"; " "; "แทนที่จะ"; "เน้น"; "การ"; "ส่งเสริม"; "ความหลากหลาย"; " "; "ความเข้าใจ"; " "; "และ"; "เคารพ"; "ต่อ"; "บุคคล"; "ทุกคน"; " "; "ไม่"; "ว่า"; "จะ"; "มาจาก"; "ภูมิหลัง"; "หรือ"; "เอกลักษณ์"; "ใดๆ"],58,0,75957
มาคน้ำย่อยปากกันความชื้นของฉัน,["มา"; "ค"; "น้ำย่อย"; "ปาก"; "กัน"; "ความชื้น"; "ของ"; "ฉัน"],8,1,75957
ฉันอยากจะถามถึงความคิดเห็นของคุณเกี่ยวกับการเข้าใจผู้ที่มีเชื้อสายเม็กซิกันในประเทศไทย คุณคิดว่าเราควรพยายามสัมผัสกับวัฒนธรรมและประเพณีของพวกเขาหรือไม่,["ฉัน"; "อยาก"; "จะ"; "ถามถึง"; "ความคิดเห็น"; "ของ"; "คุณ"; "เกี่ยวกับ"; "การ"; "เข้าใจ"; "ผู้"; "ที่"; "มี"; "เชื้อสาย"; "เม็กซิกัน"; "ในประเทศ"; "ไทย"; " "; "คุณ"; "คิด"; "ว่า"; "เรา"; "ควร"; "พยายาม"; "สัมผัส"; "กับ"; "วัฒนธรรม"; "และ"; "ประเพณี"; "ของ"; "พวกเขา"; "หรือไม่"],32,0,75957
ฉันคิดว่าคนรุ่นใหม่ของชาวพوير์เป็นแบบอย่างที่ดีในการใช้ชีวิต แต่เราต้องย้ำถึงความสำคัญของการเคารพสิทธิและเสรีภาพของพวกเขา,["ฉัน"; "คิด"; "ว่า"; "คนรุ่นใหม่"; "ของ"; "ชาว"; "พ"; "وير"; "์"; "เป็น"; "แบบอย่าง"; "ที่"; "ดี"; "ใน"; "การ"; "ใช้ชีวิต"; " "; "แต่"; "เรา"; "ต้อง"; "ย้ำ"; "ถึง"; "ความสำคัญ"; "ของ"; "การ"; "เคารพ"; "สิทธิ"; "และ"; "เสรีภาพ"; "ของ"; "พวกเขา"],31,0,75957
ในความมืดของความเสียใจ ฉันจะหาความสว่างเล็กๆ ของหวังอยู่เสมอ แม้จะซ่อนอยู่,["ใน"; "ความมืด"; "ของ"; "ความเสียใจ"; " "; "ฉัน"; "จะ"; "หา"; "ความสว่าง"; "เล็ก"; "ๆ"; " "; "ของ"; "หวัง"; "อยู่"; "เสมอ"; " "; "แม้"; "จะ"; "ซ่อน"; "อยู่"],21,0,75957
